企查查搜索关键字,公司在企查查编号,公司在企查查地址,公司名称,公司标签,法定代表人,法定代表人拥有企业数量,公司地址,公司电话,公司邮箱-单个,公司邮箱-多个,公司网址,公司邮箱,公司简介,企业类型,经营状态,成立日期,注册资本,实缴资本,工商注册号,统一社会信用代码,营业期限,参保人数,曾用名,注册地址,经营范围,纳税人识别号,纳税人资质,行业,登记机关,英文名称,组织机构代码,核准日期,人员规模,评分
北京金迅融技术有限公司,10750744,https://www.tianyancha.com/company/10750744,北京金迅融技术有限公司,存续 瞪羚企业 ,苏尼特·普瑞（SUNEET PURI）,1,北京市海淀区清河安宁庄东路18号23号楼二层2509  ,010-58950128,guan.xin@tcs.com,"[""guan.xin@tcs.com"",""wang.y@tcs.com"",""zhuyibnu@163.com"",""zhuyibnu@tcs.com""]",,"[""guan.xin@tcs.com"",""wang.y@tcs.com"",""zhuyibnu@163.com"",""zhuyibnu@tcs.com""]", 北京金迅融技术有限公司成立于2006年12月29日，主要经营范围为研究、开发计算机软硬件等。  ,有限责任公司(外国法人独资),存续,2006-12-29,525万美元,525万人民币,110000410305201,9111010579670220XQ,2006-12-29             至 2036-12-28,126,-,北京市海淀区清河安宁庄东路18号23号楼二层2509,研究、开发计算机软硬件；计算机系统集成；技术咨询；技术服务；销售自行开发的产品。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,9111010579670220XQ,一般纳税人,研究和试验发展,北京市海淀区市场监督管理局,"Beijing Jinxunrong Technology Co.,Ltd",79670220X,2019-06-24,100-499人,80
泰戈尔（北京）餐饮文化有限公司,2315095069,https://www.tianyancha.com/company/2315095069,泰戈尔（北京）餐饮文化有限公司,存续 小微企业 ,穆罕穆德·李泽万·安飒瑞,1,北京市通州区经济开发区东区靓丽三街9号-608  ,13366372314,rizwanjnu@hotmail.com,"[""rizwanjnu@hotmail.com"",""riz1@sina.com""]",,"[""rizwanjnu@hotmail.com"",""riz1@sina.com""]", 泰戈尔（北京）餐饮文化有限公司，成立于2015-09-10，注册资本为50万人民币，法定代表人为穆罕穆德·李泽万·安飒瑞，经营状态为存续，工商注册号为110000450294628，注册地址为北京市通州区经济开发区东区靓丽三街9号-608，经营范围包括文化艺术信息咨询；食品信息咨询；影视信息咨询；艺术培训；印度餐饮文化培训；企业形象策划；会议服务；文化艺术品的批发及货物进出口、代理进出口、技术进出口；销售食品。（销售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）  ,有限责任公司(外商合资),存续,2015-09-10,50万人民币,0人民币,110000450294628,9111011233646305XT,2015-09-10             至 2035-09-09,0,-,北京市通州区经济开发区东区靓丽三街9号-608,文化艺术信息咨询；食品信息咨询；影视信息咨询；艺术培训；印度餐饮文化培训；企业形象策划；会议服务；文化艺术品的批发及货物进出口、代理进出口、技术进出口；销售食品。（销售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,9111011233646305XT,-,文化艺术业,北京市工商行政管理局通州分局,-,33646305X,2015-09-10,-,53
北京然迪克思科技有限公司,2358167230,https://www.tianyancha.com/company/2358167230,北京然迪克思科技有限公司,存续 小微企业 ,RAMCHANDANI SANDEEP SURESH,1,北京市海淀区北四环西路9号2106-A014室  ,18600044220,antonli@163.com,"[""antonli@163.com"",""bqkjfw@126.com""]",,"[""antonli@163.com"",""bqkjfw@126.com""]", 然迪克思已成长为全球第三大新顶级域名注册管理机构，以及亚洲范围内，向ICANN提交新顶级域名运营申请最多的机构。Radix是估值14亿美元的Directi集团的子公司。致力于开发互联网地址资源空间。  ,有限责任公司(外国法人独资),存续,2015-12-23,100万人民币,100万人民币,110000450302614,91110108MA002N5W4E,2015-12-23             至 2035-12-22,2,-,北京市海淀区北四环西路9号2106-A014室,计算机软、硬件及网络技术开发、技术咨询、技术服务；销售自行开发的软件产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,91110108MA002N5W4E,-,科技推广和应用服务业,北京市海淀区市场监督管理局,-,MA002N5W4,2022-01-26,小于50人,58
博彦科技股份有限公司,14754155,https://www.tianyancha.com/company/14754155,博彦科技股份有限公司,存续 曾用名 瞪羚企业 技术先进型服务企业 ,王斌,15,北京市海淀区西北旺东路10号院东区7号楼(博彦科技大厦)  ,010-50965888,legal@beyondsoft.com,"[""legal@beyondsoft.com"",""xingwenjing01@beyondsoft.com"",""wangna04@beyondsoft.com""]",,"[""legal@beyondsoft.com"",""xingwenjing01@beyondsoft.com"",""wangna04@beyondsoft.com""]", 博彦科技股份有限公司，简称“博彦科技”，深交所上市公司，股票代码002649。公司1995年成立于北京，并在中国、美国、日本、印度、加拿大、新加坡等六个国家设有30余家分支机构、研发基地或交付中心。公司采用基于大数据、云计算和移动互联等新兴技术，为高科技、互联网、金融、汽车、零售、物流、能源、制造、医疗、电信、媒体、旅游等行业客户提供丰富的解决方案及产品。业务范围涵盖：咨询及解决方案、IT服务、应用程序开发和维护、ERP和BPO等服务。  ,股份有限公司(上市),-,1995-04-17,52466.28万人民币,7499.9952万人民币,110000410218438,911100001021132178,1995-04-17             至 无固定期限,1014,,北京市海淀区西北旺东路10号院东区7号楼(博彦科技大厦),信息技术开发、服务；计算机及设备软件的开发、设计、制作、测试、销售；为自产产品提供技术咨询和技术服务；计算机系统集成的设计、安装、调试、维护；以服务外包方式从事数据处理服务；企业管理咨询；信息技术培训；货物进出口、技术进出口、代理进出口。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,911100001021132178,一般纳税人,研究和试验发展,北京市海淀区市场监督管理局,Beyondsoft Corporation,102113217,2020-01-17,-,96
北京创新畅想餐饮管理服务有限公司,88487394,https://www.tianyancha.com/company/88487394,北京创新畅想餐饮管理服务有限公司,注销 曾用名 小微企业 ,爱莉,1,北京市昌平区东小口镇天通中苑二区41号楼11层1102A  ,13911902534,13466663971@139.com,"[""13466663971@139.com"",""dongxue690@163.com""]",,"[""13466663971@139.com"",""dongxue690@163.com""]", 北京创新畅想餐饮管理服务有限公司成立于2007年10月10日，主要经营范围为餐饮管理等。  ,有限责任公司(外国自然人独资),注销,2007-10-10,50万人民币,50万人民币,110000450027063,91110113663109074Q,2007-10-10             至 2027-10-09,0,,北京市昌平区东小口镇天通中苑二区41号楼11层1102A,餐饮管理；企业管理咨询；经济贸易咨询；企业形象策划；会议服务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,91110113663109074Q,-,商务服务业,北京市昌平区市场监督管理局,-,663109074,2021-09-08,-,53
太阳神（北京）旅游咨询有限公司,92215987,https://www.tianyancha.com/company/92215987,太阳神（北京）旅游咨询有限公司,存续 小微企业 ,哈森,1,北京市朝阳区八里庄西里61号楼1905  ,010-65582632,17187819@126.com,"[""17187819@126.com"",""645900462@qq.com""]",,"[""17187819@126.com"",""645900462@qq.com""]", 太阳神（北京）旅游咨询有限公司成立于2012年08月22日，主要经营范围为旅游咨询（不含中介服务）等。  ,有限责任公司(外国自然人独资),存续,2012-08-22,50万人民币,0人民币,110000450214195,91110105051401840F,2012-08-22             至 2042-08-21,0,-,北京市朝阳区八里庄西里61号楼1905,旅游咨询（不含中介服务）；教育咨询（不含出国留学咨询及中介服务）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,91110105051401840F,-,商务服务业,北京市工商行政管理局朝阳分局,-,051401840,2016-08-01,-,53
北京益星远东贸易有限公司,36288031,https://www.tianyancha.com/company/36288031,北京益星远东贸易有限公司,存续 小微企业 ,薛跃斌,8,北京市通州区榆景东路5号院55号楼3层101室3925  ,18611760480,3025349133@qq.com,"[""3025349133@qq.com"",""907057314@qq.com"",""zhangshanlin1986@163.com""]",,"[""3025349133@qq.com"",""907057314@qq.com"",""zhangshanlin1986@163.com""]", 北京益星远东贸易有限公司成立于2008年09月10日，主要经营范围为机械设备、建筑材料、建筑装潢材料、日用品、服装服饰、纺织品、针棉制品、五金交电及电子产品的批发等。  ,有限责任公司(外国自然人独资),存续,2008-09-10,100万美元,100万美元,110000450066057,91110105678753305Y,2008-09-10             至 2038-09-09,2,-,北京市通州区榆景东路5号院55号楼3层101室3925,机械设备、建筑材料、建筑装潢材料、日用品、服装服饰、纺织品、针棉制品、五金交电及电子产品的批发；货物进出口（涉及配额许可管理、专项规定管理的商品按照国家有关规定办理）；经济信息咨询（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,91110105678753305Y,一般纳税人,批发业,北京市通州区市场监督管理局,-,678753305,2021-03-17,小于50人,68
克里门森互动（北京）顾问有限公司,2944469688,https://www.tianyancha.com/company/2944469688,克里门森互动（北京）顾问有限公司,存续 小微企业 ,沙拉德·米塔尔,1,北京市海淀区中关村南大街甲6号6层607  ,010-58644470,jwang@accountingbeijing.com,,,, 克里门森互动（北京）顾问有限公司，成立于2016-09-12，注册资本为10万美元，法定代表人为沙拉德·米塔尔，经营状态为存续，工商注册号为110000450319558，注册地址为北京市海淀区中关村南大街甲6号6层607，经营范围包括企业管理咨询；商务信息咨询；翻译服务；电脑打字、录入、校对、打印服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）  ,有限责任公司(外国法人独资),存续,2016-09-12,10万美元,6.999万人民币,110000450319558,91110108MA0086A199,2016-09-12             至 2046-09-11,9,-,北京市海淀区中关村南大街甲6号6层607,企业管理咨询；商务信息咨询；翻译服务；电脑打字、录入、校对、打印服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,91110108MA0086A199,一般纳税人,商务服务业,北京市工商行政管理局海淀分局,-,MA0086A19,2017-02-16,小于50人,53
马恒达（北京）信息技术服务有限公司,22993003,https://www.tianyancha.com/company/22993003,马恒达（北京）信息技术服务有限公司,存续 小微企业 ,杰迪西·米彻（JAGDISH MITRA）,1,北京市朝阳区甘露园南里25号(三期)8号楼22层2201  ,010-85591215,jing.sun@stellaacc.com,"[""jing.sun@stellaacc.com"",""pc00474193@techmahindra.com"",""rs00114081@techmahindra.com"",""gilbert.chan@techmahindra.com""]",,"[""jing.sun@stellaacc.com"",""pc00474193@techmahindra.com"",""rs00114081@techmahindra.com"",""gilbert.chan@techmahindra.com""]", 马恒达（北京）信息技术服务有限公司，成立于2007-09-25，注册资本为250万美元，法定代表人为杰迪西·米彻（JAGDISH MITRA），经营状态为存续，工商注册号为110000450026476，注册地址为北京市朝阳区甘露园南里25号(三期)8号楼22层2201，经营范围包括技术开发、技术服务、技术咨询；软件开发；产品设计；销售自行开发后的产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）  ,有限责任公司(外国法人独资),存续,2007-09-25,250万美元,50万美元,110000450026476,91110105666903783P,2007-09-25             至 2037-09-24,51,-,北京市朝阳区甘露园南里25号(三期)8号楼22层2201,技术开发、技术服务、技术咨询；软件开发；产品设计；销售自行开发后的产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,91110105666903783P,一般纳税人,商务服务业,北京市朝阳区市场监督管理局,-,666903783,2021-06-21,50-99人,75
北京恒河国际餐饮管理有限公司,17420242,https://www.tianyancha.com/company/17420242,北京恒河国际餐饮管理有限公司,存续 小微企业 ,海托,4,北京市朝阳区光华路9号1号楼-1层-01商业内B107  ,18210587602,suguixia1101@sina.com,"[""suguixia1101@sina.com"",""102867660@qq.com""]",,"[""suguixia1101@sina.com"",""102867660@qq.com""]", 北京恒河国际餐饮管理有限公司成立于2007年01月04日，主要经营范围为西式快餐（不含冷荤）等。  ,有限责任公司(外国自然人独资),存续,2007-01-04,100万人民币,100万人民币,110000410305277,9111010579595646XW,2007-01-04             至 2037-01-03,2,-,北京市朝阳区光华路9号1号楼-1层-01商业内B107,西式快餐（不含冷荤）；向在本餐厅就餐的客人零售酒、饮料；餐饮管理。（以及向在本餐厅就餐的客人零售酒、饮料、西式快餐（不含冷荤）向在本餐厅就餐的客人零售酒、饮料、西式快餐（不含冷荤）以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,9111010579595646XW,一般纳税人,商务服务业,北京市朝阳区市场监督管理局,"Beijing Henghe International Food&Beverage Management Co.,Ltd.",79595646X,2019-03-05,小于50人,58
